dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,59,0.345,0.322,3.612,57,0.353,0.329,7.681,19.9199
dataset_1,53,0.376,0.376,3.08,51,0.386,0.386,7.141,19.3714
dataset_2,54,0.381,0.357,3.096,52,0.39,0.366,7.348,19.2225
dataset_3,55,0.472,0.382,3.976,53,0.483,0.391,7.81,19.7077
dataset_4,53,0.437,0.391,3.44,51,0.447,0.4,7.416,19.2424
dataset_5,54,0.395,0.372,3.264,52,0.405,0.381,7.348,19.2158
dataset_6,55,0.391,0.368,3.455,53,0.4,0.376,7.416,19.2719
dataset_7,55,0.427,0.382,3.774,51,0.437,0.414,7.28,19.4652
dataset_8,56,0.422,0.378,3.852,52,0.455,0.409,7.483,19.5013
dataset_9,57,0.427,0.36,3.855,53,0.46,0.391,7.681,19.5139
Overall Average,55.1000 ± 1.8529,0.4073 ± 0.0366,0.3688 ± 0.0194,3.5404 ± 0.3247,52.5000 ± 1.7795,0.4216 ± 0.0408,0.3843 ± 0.0243,7.4604 ± 0.2065,19.4432
