dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,87,0.601,0.592,1.168,74,0.653,0.611,9.055,1.7673
dataset_1,80,0.614,0.604,1.248,75,0.659,0.595,9.327,1.8472
dataset_2,97,0.553,0.553,1.207,84,0.649,0.567,10.0,1.7673
dataset_3,84,0.596,0.596,1.206,73,0.667,0.614,9.11,1.749
dataset_4,73,0.626,0.626,1.258,67,0.67,0.626,8.66,1.7461
dataset_5,85,0.581,0.581,1.233,75,0.649,0.595,9.22,1.741
dataset_6,83,0.595,0.595,1.2,76,0.652,0.587,9.381,1.7133
dataset_7,67,0.649,0.649,1.182,61,0.697,0.651,8.307,1.688
dataset_8,76,0.619,0.608,1.19,70,0.648,0.615,8.718,1.7151
dataset_9,71,0.647,0.647,1.142,63,0.689,0.656,8.307,1.7485
Overall Average,80.3000 ± 8.8324,0.6081 ± 0.0294,0.6051 ± 0.0294,1.2034 ± 0.0358,71.8000 ± 6.7791,0.6633 ± 0.0175,0.6117 ± 0.0277,9.0085 ± 0.5239,1.7483
