dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,1.96,232,0.601,0.601,2.2205
dataset_1,2.215,248,0.582,0.578,2.1377
dataset_2,2.293,263,0.575,0.568,2.2229
dataset_3,2.013,267,0.569,0.559,2.2566
dataset_4,2.15,248,0.598,0.581,2.0985
dataset_5,2.34,283,0.55,0.537,2.1915
dataset_6,2.058,278,0.556,0.543,2.1962
dataset_7,2.163,288,0.562,0.546,2.2217
dataset_8,1.928,243,0.585,0.582,2.203
dataset_9,2.023,270,0.579,0.566,2.0774
Overall Average,2.114 ± 0.140,262.00 ± 18.61,0.576 ± 0.017,0.566 ± 0.020,2.1826 ± 0.0586
