dataset,SHD,F1,F1_directed,Frobenius,runtime
dataset_0,103,0.687,0.681,2.256,13.1983
dataset_1,104,0.673,0.673,2.265,13.0812
dataset_2,100,0.708,0.708,2.138,13.1515
dataset_3,103,0.685,0.685,2.215,13.2382
dataset_4,113,0.648,0.648,2.347,13.1205
dataset_5,111,0.661,0.661,2.286,13.2861
dataset_6,105,0.691,0.685,2.258,13.2802
dataset_7,105,0.696,0.696,2.186,13.1982
dataset_8,109,0.673,0.673,2.251,13.2498
dataset_9,105,0.677,0.671,2.313,13.1276
Overall Average,105.80 ± 3.99,0.680 ± 0.017,0.678 ± 0.017,2.252 ± 0.060,13.1932
