dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,106,0.683,0.683,2.338,92,0.735,0.695,10.198,11.0288
dataset_1,105,0.681,0.681,2.186,88,0.723,0.703,9.695,11.2573
dataset_2,93,0.737,0.737,2.054,71,0.775,0.769,8.544,11.3386
dataset_3,102,0.683,0.683,2.286,90,0.713,0.685,9.899,11.3076
dataset_4,117,0.638,0.638,2.391,98,0.676,0.662,10.1,11.3598
dataset_5,108,0.675,0.675,2.248,92,0.725,0.691,10.1,11.3513
dataset_6,117,0.661,0.655,2.364,93,0.719,0.685,10.149,10.6067
dataset_7,99,0.708,0.708,2.134,80,0.765,0.732,9.487,11.4958
dataset_8,107,0.682,0.682,2.287,95,0.731,0.684,10.44,11.2513
dataset_9,109,0.66,0.66,2.313,91,0.722,0.687,10.05,11.4113
Overall Average,106.3000 ± 7.3794,0.6808 ± 0.0271,0.6802 ± 0.0276,2.2601 ± 0.1066,89.0000 ± 7.9022,0.7284 ± 0.0273,0.6993 ± 0.0302,9.8662 ± 0.5359,11.2409
