dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,161,0.383,0.315,2.969,126,0.525,0.364,12.57,5.8819
dataset_1,190,0.356,0.28,3.006,144,0.523,0.339,13.565,5.5803
dataset_2,157,0.381,0.32,3.036,126,0.526,0.351,12.649,5.0978
dataset_3,171,0.387,0.324,2.836,133,0.531,0.37,12.923,5.5732
dataset_4,179,0.359,0.287,2.98,135,0.541,0.348,13.229,5.2166
dataset_5,156,0.412,0.316,3.0,124,0.515,0.361,12.41,5.6527
dataset_6,151,0.38,0.317,2.881,122,0.521,0.351,12.41,5.4963
dataset_7,185,0.348,0.269,3.053,135,0.536,0.354,13.153,5.6691
dataset_8,165,0.415,0.315,3.173,127,0.532,0.374,12.61,5.569
dataset_9,183,0.345,0.265,3.151,136,0.51,0.333,13.115,5.8713
Overall Average,169.8000 ± 13.7744,0.3766 ± 0.0246,0.3008 ± 0.0229,3.0085 ± 0.1047,130.8000 ± 6.8767,0.5260 ± 0.0094,0.3545 ± 0.0130,12.8634 ± 0.3921,5.5608
