dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,56,0.364,0.364,3.517,52,0.395,0.395,7.211,15.5764
dataset_1,55,0.391,0.368,3.466,53,0.4,0.376,7.416,15.1502
dataset_2,57,0.382,0.36,3.761,53,0.391,0.391,7.28,14.9705
dataset_3,60,0.409,0.318,4.139,58,0.419,0.326,8.124,14.8922
dataset_4,57,0.404,0.36,3.747,55,0.437,0.368,7.81,14.8691
dataset_5,56,0.386,0.364,3.555,52,0.419,0.395,7.348,14.9333
dataset_6,55,0.321,0.321,2.785,53,0.329,0.329,7.28,14.8369
dataset_7,55,0.376,0.353,3.385,53,0.386,0.361,7.416,15.5534
dataset_8,61,0.337,0.315,3.979,59,0.368,0.322,7.937,16.3508
dataset_9,57,0.345,0.345,3.413,55,0.376,0.353,7.55,15.5672
Overall Average,56.9000 ± 2.0790,0.3715 ± 0.0292,0.3468 ± 0.0209,3.5747 ± 0.3723,54.3000 ± 2.4518,0.3920 ± 0.0305,0.3616 ± 0.0285,7.5372 ± 0.3132,15.2700
