dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,118,0.441,0.366,2.922,98,0.542,0.41,10.954,39.5509
dataset_1,130,0.4,0.35,2.918,102,0.552,0.414,11.225,40.6027
dataset_2,117,0.415,0.361,2.984,100,0.537,0.39,11.136,37.9864
dataset_3,125,0.408,0.378,2.763,103,0.526,0.411,11.091,40.0025
dataset_4,115,0.428,0.385,2.862,95,0.551,0.431,10.724,39.2691
dataset_5,105,0.451,0.393,2.917,88,0.532,0.443,10.1,40.8084
dataset_6,92,0.469,0.432,2.785,76,0.575,0.479,9.487,39.5342
dataset_7,121,0.404,0.339,2.957,93,0.584,0.422,10.909,41.6129
dataset_8,117,0.455,0.381,3.076,99,0.573,0.421,11.18,39.3031
dataset_9,116,0.398,0.341,3.031,95,0.516,0.403,10.63,42.0201
Overall Average,115.6000 ± 10.5641,0.4269 ± 0.0257,0.3726 ± 0.0279,2.9215 ± 0.0991,94.9000 ± 8.0062,0.5488 ± 0.0226,0.4224 ± 0.0247,10.7436 ± 0.5553,40.0690
