dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,28,0.781,0.781,1.221,23,0.81,0.81,4.796,5.1973
dataset_1,21,0.842,0.842,1.174,18,0.859,0.859,4.243,5.1893
dataset_2,26,0.803,0.803,1.247,20,0.839,0.839,4.472,5.1379
dataset_3,26,0.794,0.794,1.395,22,0.847,0.814,5.099,5.1372
dataset_4,28,0.774,0.774,1.268,27,0.793,0.777,5.385,5.1279
dataset_5,32,0.733,0.733,1.539,30,0.759,0.741,5.657,5.1131
dataset_6,27,0.777,0.777,1.339,23,0.803,0.803,4.796,5.126
dataset_7,32,0.75,0.75,1.355,30,0.787,0.754,5.831,5.1954
dataset_8,20,0.844,0.844,1.179,15,0.876,0.876,3.873,5.1557
dataset_9,25,0.806,0.806,1.267,21,0.829,0.829,4.583,5.1335
Overall Average,26.5000 ± 3.9511,0.7904 ± 0.0356,0.7904 ± 0.0356,1.2984 ± 0.1117,22.9000 ± 4.9092,0.8202 ± 0.0361,0.8102 ± 0.0435,4.8735 ± 0.6235,5.1513
