dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,7,0.759,0.759,0.68,7,0.815,0.741,3.0,0.0603
dataset_1,5,0.815,0.815,0.632,4,0.846,0.846,2.0,0.0616
dataset_2,7,0.741,0.741,0.55,6,0.769,0.769,2.449,0.061
dataset_3,8,0.692,0.692,0.736,7,0.72,0.72,2.646,0.0605
dataset_4,10,0.615,0.615,0.838,6,0.75,0.75,2.449,0.06
dataset_5,7,0.741,0.741,0.652,6,0.769,0.769,2.449,0.0588
dataset_6,7,0.741,0.741,0.588,6,0.769,0.769,2.449,0.0599
dataset_7,2,0.923,0.923,0.507,1,0.96,0.96,1.0,0.0576
dataset_8,3,0.88,0.88,0.55,3,0.87,0.87,1.732,0.0598
dataset_9,7,0.759,0.759,0.47,6,0.846,0.769,2.828,0.0588
Overall Average,6.3000 ± 2.3594,0.7666 ± 0.0884,0.7666 ± 0.0884,0.6203 ± 0.1115,5.2000 ± 1.9322,0.8114 ± 0.0711,0.7963 ± 0.0736,2.3002 ± 0.5850,0.0598
