dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,12,0.444,0.333,1.826,11,0.471,0.353,3.606,5.7676
dataset_1,13,0.571,0.381,2.442,12,0.6,0.4,4.0,6.1142
dataset_2,10,0.6,0.5,1.812,9,0.632,0.526,3.317,6.0319
dataset_3,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.0123
dataset_4,10,0.6,0.5,1.884,9,0.632,0.526,3.317,5.9629
dataset_5,12,0.5,0.4,2.024,11,0.526,0.421,3.606,5.9813
dataset_6,10,0.6,0.5,1.884,9,0.632,0.526,3.317,6.0097
dataset_7,12,0.444,0.333,1.827,11,0.471,0.353,3.606,5.9659
dataset_8,10,0.636,0.545,2.171,9,0.762,0.571,3.606,5.9562
dataset_9,12,0.6,0.4,2.188,11,0.632,0.421,3.873,5.9991
Overall Average,11.0000 ± 1.3333,0.5521 ± 0.0694,0.4418 ± 0.0808,1.9413 ± 0.2915,10.0000 ± 1.3333,0.5914 ± 0.0884,0.4653 ± 0.0842,3.5076 ± 0.3309,5.9801
