dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,18,0.467,0.4,1.199,13,0.667,0.519,4.123,2.9739
dataset_1,13,0.593,0.519,1.191,9,0.72,0.64,3.317,2.5613
dataset_2,14,0.462,0.462,0.984,12,0.583,0.5,3.742,2.4903
dataset_3,12,0.583,0.5,1.027,9,0.696,0.609,3.317,3.067
dataset_4,12,0.643,0.571,0.998,8,0.769,0.692,3.162,2.9106
dataset_5,13,0.593,0.519,1.07,8,0.667,0.667,2.828,2.3586
dataset_6,14,0.538,0.462,1.222,9,0.696,0.609,3.317,2.5339
dataset_7,12,0.615,0.538,1.028,8,0.75,0.667,3.162,2.1202
dataset_8,12,0.5,0.5,0.971,9,0.696,0.609,3.317,2.5113
dataset_9,15,0.552,0.483,1.154,11,0.667,0.593,3.606,2.5811
Overall Average,13.5000 ± 1.9003,0.5546 ± 0.0621,0.4954 ± 0.0473,1.0844 ± 0.0974,9.6000 ± 1.7764,0.6911 ± 0.0515,0.6105 ± 0.0622,3.3891 ± 0.3573,2.6108
