simulation,timestep,C,I,U,Y,P,R
0,0,101.09311998595824,37.628270725065626,6.73869595947871,255.48605537275608,106.57901139452017,1.5775520633621858
0,1,100.87411449803187,46.43640962781539,0.6937578587840438,323.1724296964662,101.92935589959673,2.3957968509892584
0,2,101.1996508633882,34.94315587593117,1.993118060790799,290.52463769610944,101.09098249316119,1.0659985409736832
0,3,101.03095819626608,92.05179203774794,6.53041991920101,280.4294112960372,103.68956751363548,1.6519547613209231
0,4,101.21088378662789,36.468964840467265,2.9667627230783347,288.52690197857675,101.81849238409721,1.6922351850438533
0,5,100.92782368372963,40.36307625588316,0.41006108591849466,293.4416471465251,103.27311895083605,2.357006129555497
0,6,101.28134879359676,35.41515463853375,4.6988757588698356,347.07128648300585,103.8638899939843,1.5733381843626149
0,7,101.16186889672821,44.686162122835,0.33921810090476645,319.5291706578378,100.42183636306855,2.7943371196490423
0,8,101.43515286188475,45.41121850362375,1.4303496614651319,279.45738606699183,106.66784843338017,1.425884830430017
0,9,101.1228556695557,36.6312244711975,3.1871338567597887,248.417290147029,111.55392342253056,1.420183797564012
0,10,101.2896233186725,70.69274289031347,1.3472473091684312,251.6712920082145,105.17815377250561,6.088186291056607
0,11,101.32351513076061,35.68344560719713,6.467884754285115,295.7856834604964,106.63920558424273,1.420142568898993
0,12,101.34156339744814,40.88400131425777,4.667112940684595,267.8145416108771,104.13595559334387,1.7956152262490874
0,13,101.247120561902,80.43959786672971,2.9495457842048816,304.00379840294613,107.2474811116102,2.5991602774709794
0,14,101.07906358520088,40.65087529086004,9.392247442929683,276.61073852964114,103.70719326400214,1.7705562741905871
0,15,101.32640036796583,39.55637859545598,1.787820004403048,314.25720262999425,101.31046843713045,1.9904957438152315
0,16,101.53877408044099,51.2211201761315,8.600264908562965,292.64150584391155,102.00382804230726,2.4401725215402346
0,17,101.46235123936223,41.838231091569575,1.1620143482370455,341.7517978506543,101.00435311379367,1.5285249851559108
0,18,101.4643202116777,81.33393011052388,3.962773157214008,208.77959443412792,101.44814390235146,2.1009410387643994
0,19,101.88142696201064,35.42000362188706,5.655209112492456,311.4760139407539,100.51165398748454,1.8931432993165047
0,20,101.81111406677317,51.31706541761564,6.177410379046113,310.5151153132649,103.64868819609796,1.0881185722198354
0,21,101.78497518753345,66.06486849061447,0.903939290817251,302.2170132851201,111.17209875888881,2.309894974069244
0,22,101.94580368382789,36.57967362272107,5.246203392287734,276.3020304157918,102.73525393523222,2.0298350035928903
0,23,102.22421483591121,40.39013996132649,4.727784756308941,246.7660846257222,102.74772279823644,2.248409433947043
0,24,102.21069478873999,59.69124153704356,2.257767717440538,296.75567945414747,105.13425347820092,2.1762526337558614
0,25,102.32074689514046,33.643555674540146,3.86241785630704,318.92647378450533,103.40861841698967,2.303502601964469
0,26,102.48520937255876,38.51474810024767,2.562902242470759,267.6824222496804,102.78857174535119,1.3507473075742344
