dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,1.221,49,0.749,0.749,4.6959
dataset_1,1.417,58,0.685,0.674,4.4478
dataset_2,1.329,54,0.71,0.71,4.5458
dataset_3,1.464,63,0.652,0.652,4.5063
dataset_4,1.434,62,0.652,0.652,4.5268
dataset_5,1.366,62,0.663,0.652,4.4715
dataset_6,1.371,49,0.737,0.726,4.5522
dataset_7,1.318,55,0.699,0.699,4.4486
dataset_8,1.353,56,0.685,0.685,4.5226
dataset_9,1.557,58,0.659,0.659,4.4838
Overall Average,1.383 ± 0.091,56.60 ± 5.04,0.689 ± 0.035,0.686 ± 0.034,4.5201 ± 0.0722
