dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,1.549,99,0.607,0.599,24.6137
dataset_1,1.363,84,0.632,0.632,25.0088
dataset_2,1.274,77,0.672,0.664,27.7415
dataset_3,1.709,91,0.618,0.609,24.8225
dataset_4,1.175,71,0.682,0.673,25.1195
dataset_5,1.32,89,0.599,0.59,26.1024
dataset_6,1.345,83,0.643,0.634,26.1349
dataset_7,1.416,91,0.619,0.619,24.766
dataset_8,1.407,82,0.658,0.65,25.3716
dataset_9,1.475,99,0.591,0.582,26.5706
Overall Average,1.403 ± 0.149,86.60 ± 9.00,0.632 ± 0.031,0.625 ± 0.031,25.6251 ± 0.9981
