dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,1.243,79,0.694,0.678,1.0889
dataset_1,1.354,78,0.678,0.669,1.1084
dataset_2,1.34,94,0.651,0.636,1.1288
dataset_3,1.368,89,0.643,0.643,1.1367
dataset_4,1.346,93,0.641,0.641,1.1595
dataset_5,1.366,96,0.632,0.616,1.1509
dataset_6,1.239,81,0.685,0.677,1.1471
dataset_7,1.304,75,0.694,0.694,1.1652
dataset_8,1.295,84,0.669,0.669,1.1279
dataset_9,1.731,110,0.6,0.593,1.1251
Overall Average,1.359 ± 0.139,87.90 ± 10.67,0.659 ± 0.031,0.652 ± 0.031,1.1339 ± 0.0234
