dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,2.819,118,0.356,0.322,45.5576
dataset_1,2.763,109,0.318,0.306,44.765
dataset_2,2.885,111,0.327,0.302,48.6702
dataset_3,2.924,109,0.348,0.323,46.0303
dataset_4,2.762,103,0.353,0.327,45.9247
dataset_5,2.843,111,0.347,0.335,42.9423
dataset_6,2.877,113,0.323,0.298,45.3528
dataset_7,2.878,118,0.367,0.344,44.7498
dataset_8,2.919,120,0.363,0.341,49.723
dataset_9,2.907,114,0.369,0.321,45.2177
Overall Average,2.858 ± 0.060,112.60 ± 5.15,0.347 ± 0.018,0.322 ± 0.016,45.8933 ± 1.9592
