dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,88,0.453,0.413,2.784,80,0.514,0.444,9.487,25.97
dataset_1,94,0.469,0.42,2.81,84,0.581,0.432,10.296,23.3777
dataset_2,96,0.408,0.368,2.793,81,0.489,0.417,9.539,24.0938
dataset_3,99,0.389,0.336,2.89,85,0.504,0.388,10.05,24.5394
dataset_4,92,0.419,0.378,2.939,78,0.507,0.435,9.381,23.4494
dataset_5,100,0.444,0.383,3.006,82,0.547,0.453,9.798,24.7594
dataset_6,94,0.429,0.39,2.903,82,0.534,0.438,9.798,25.1723
dataset_7,94,0.436,0.397,2.807,82,0.556,0.431,10.0,23.8759
dataset_8,85,0.462,0.406,2.814,73,0.541,0.451,9.22,23.6081
dataset_9,90,0.417,0.375,2.668,76,0.537,0.433,9.487,23.2729
Overall Average,93.2000 ± 4.6619,0.4326 ± 0.0252,0.3866 ± 0.0246,2.8414 ± 0.0951,80.3000 ± 3.6833,0.5310 ± 0.0277,0.4322 ± 0.0187,9.7056 ± 0.3392,24.2119
