dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,63,0.643,0.632,1.261,58,0.688,0.637,8.124,0.6744
dataset_1,50,0.688,0.688,1.207,41,0.742,0.728,6.557,0.6412
dataset_2,45,0.695,0.681,1.336,37,0.759,0.73,6.403,0.6778
dataset_3,61,0.647,0.635,1.562,48,0.709,0.696,7.071,0.6402
dataset_4,58,0.638,0.638,1.341,53,0.671,0.658,7.416,0.6377
dataset_5,56,0.667,0.667,1.288,42,0.744,0.731,6.633,0.6537
dataset_6,51,0.696,0.683,1.295,43,0.732,0.719,6.708,0.6538
dataset_7,59,0.637,0.624,1.336,56,0.689,0.622,8.124,0.6328
dataset_8,62,0.622,0.622,1.332,54,0.701,0.649,7.874,0.6555
dataset_9,30,0.783,0.783,1.019,31,0.797,0.767,5.916,0.644
Overall Average,53.5000 ± 10.1023,0.6716 ± 0.0472,0.6653 ± 0.0486,1.2977 ± 0.1347,46.3000 ± 8.9200,0.7232 ± 0.0386,0.6937 ± 0.0489,7.0826 ± 0.7709,0.6511
