dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,124,0.45,0.38,2.87,112,0.522,0.378,11.747,3.3879
dataset_1,141,0.394,0.338,2.935,112,0.571,0.385,12.083,3.0268
dataset_2,135,0.368,0.328,2.867,112,0.517,0.371,11.747,3.1683
dataset_3,153,0.362,0.308,2.995,116,0.505,0.376,11.832,3.2224
dataset_4,147,0.361,0.283,3.083,118,0.5,0.344,12.083,3.0626
dataset_5,138,0.423,0.337,3.099,113,0.503,0.383,11.619,3.4318
dataset_6,130,0.381,0.33,2.99,104,0.535,0.395,11.314,3.3697
dataset_7,151,0.363,0.298,2.965,118,0.527,0.352,12.247,3.2706
dataset_8,152,0.429,0.321,2.993,124,0.546,0.361,12.649,3.1807
dataset_9,114,0.398,0.352,2.724,95,0.509,0.41,10.536,3.0351
Overall Average,138.5000 ± 13.0064,0.3929 ± 0.0318,0.3275 ± 0.0276,2.9521 ± 0.1106,112.4000 ± 8.0581,0.5235 ± 0.0223,0.3755 ± 0.0197,11.7857 ± 0.5727,3.2156
