dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,590,0.528,0.515,2.989,494,0.588,0.559,22.935,19.6129
dataset_1,538,0.544,0.534,2.848,468,0.594,0.563,22.405,19.2858
dataset_2,500,0.572,0.564,2.615,432,0.614,0.593,21.307,19.4199
dataset_3,591,0.518,0.51,2.8,507,0.572,0.549,23.087,19.471
dataset_4,528,0.547,0.545,2.813,452,0.597,0.581,21.679,19.5081
dataset_5,623,0.498,0.493,3.193,527,0.555,0.537,23.388,19.8029
dataset_6,599,0.534,0.526,2.866,512,0.581,0.56,23.152,19.0471
dataset_7,553,0.554,0.54,3.165,480,0.6,0.571,22.627,18.8641
dataset_8,499,0.572,0.565,2.914,429,0.625,0.596,21.424,19.4941
dataset_9,584,0.531,0.528,2.869,495,0.581,0.565,22.65,19.6129
Overall Average,560.5000 ± 43.2082,0.5398 ± 0.0231,0.5320 ± 0.0228,2.9072 ± 0.1723,479.6000 ± 33.6888,0.5907 ± 0.0202,0.5674 ± 0.0185,22.4654 ± 0.7482,19.4119
