dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,386,0.225,0.209,7.448,370,0.237,0.216,19.494,96.1469
dataset_1,383,0.216,0.204,7.046,367,0.224,0.211,19.313,94.5915
dataset_2,398,0.215,0.191,8.0,382,0.223,0.197,19.849,94.6845
dataset_3,389,0.206,0.198,7.378,373,0.213,0.205,19.416,94.4584
dataset_4,385,0.214,0.193,6.904,369,0.226,0.2,19.519,94.5569
dataset_5,394,0.192,0.176,7.291,378,0.208,0.182,19.748,95.6699
dataset_6,389,0.232,0.208,7.726,373,0.24,0.215,19.621,94.8597
dataset_7,390,0.23,0.201,7.714,374,0.237,0.208,19.698,94.6415
dataset_8,383,0.236,0.22,7.496,367,0.244,0.227,19.365,94.5298
dataset_9,387,0.228,0.212,7.571,371,0.24,0.219,19.519,94.6345
Overall Average,388.4000 ± 4.7656,0.2194 ± 0.0135,0.2012 ± 0.0125,7.4574 ± 0.3260,372.4000 ± 4.7656,0.2292 ± 0.0123,0.2080 ± 0.0128,19.5542 ± 0.1728,94.8774
