dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,5,0.839,0.839,0.517,4,0.857,0.857,2.0,0.2277
dataset_1,5,0.848,0.848,0.533,4,0.867,0.867,2.0,0.2396
dataset_2,7,0.8,0.8,0.529,7,0.788,0.788,2.646,0.2321
dataset_3,6,0.824,0.824,0.516,6,0.813,0.813,2.449,0.2367
dataset_4,7,0.788,0.788,0.61,4,0.857,0.857,2.0,0.2358
dataset_5,9,0.71,0.71,0.577,8,0.8,0.733,3.162,0.2778
dataset_6,8,0.75,0.75,0.531,7,0.828,0.759,3.0,0.2312
dataset_7,6,0.813,0.813,0.69,7,0.839,0.774,3.0,0.2343
dataset_8,7,0.788,0.788,0.608,5,0.839,0.839,2.236,0.24
dataset_9,7,0.788,0.788,0.517,4,0.867,0.867,2.0,0.235
Overall Average,6.7000 ± 1.2517,0.7948 ± 0.0413,0.7948 ± 0.0413,0.5628 ± 0.0578,5.6000 ± 1.5776,0.8355 ± 0.0279,0.8154 ± 0.0492,2.4493 ± 0.4721,0.2390
