dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,3,0.889,0.889,0.514,3,0.88,0.88,1.732,1.0948
dataset_1,3,0.889,0.889,0.52,3,0.88,0.88,1.732,1.1477
dataset_2,6,0.75,0.75,0.631,5,0.783,0.783,2.236,1.0818
dataset_3,5,0.828,0.828,0.515,5,0.815,0.815,2.236,1.0762
dataset_4,4,0.857,0.857,0.666,3,0.88,0.88,1.732,1.0763
dataset_5,4,0.846,0.846,0.571,3,0.88,0.88,1.732,1.0691
dataset_6,3,0.889,0.889,0.515,3,0.88,0.88,1.732,1.0661
dataset_7,4,0.833,0.833,0.674,3,0.87,0.87,1.732,1.0649
dataset_8,5,0.815,0.815,0.586,4,0.846,0.846,2.0,1.0664
dataset_9,2,0.923,0.923,0.555,2,0.917,0.917,1.414,1.0804
Overall Average,3.9000 ± 1.1972,0.8519 ± 0.0494,0.8519 ± 0.0494,0.5747 ± 0.0630,3.4000 ± 0.9661,0.8631 ± 0.0386,0.8631 ± 0.0386,1.8278 ± 0.2559,1.0824
