dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,11,0.526,0.421,1.899,10,0.556,0.444,3.464,4.8626
dataset_1,9,0.526,0.526,1.355,8,0.556,0.556,2.828,5.0592
dataset_2,10,0.444,0.444,1.225,9,0.471,0.471,3.0,4.974
dataset_3,9,0.526,0.526,1.355,8,0.556,0.556,2.828,4.9796
dataset_4,11,0.526,0.421,1.893,10,0.556,0.444,3.464,4.9819
dataset_5,9,0.526,0.526,1.355,8,0.556,0.556,2.828,4.9514
dataset_6,9,0.526,0.526,1.355,8,0.556,0.556,2.828,4.8917
dataset_7,11,0.526,0.421,1.717,10,0.556,0.444,3.464,4.8458
dataset_8,11,0.421,0.421,1.754,10,0.444,0.444,3.162,4.879
dataset_9,10,0.444,0.444,1.225,9,0.471,0.471,3.0,4.8599
Overall Average,10.0000 ± 0.9428,0.4991 ± 0.0438,0.4676 ± 0.0510,1.5133 ± 0.2706,9.0000 ± 0.9428,0.5278 ± 0.0460,0.4942 ± 0.0542,3.0866 ± 0.2820,4.9285
