0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,-0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-0.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,-0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,-0.100,-0.069,-0.008,-0.437,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.437,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.058,0.000,0.038,0.263,0.000,0.054,0.000,-0.207,0.000,0.000,0.000,0.000,0.000,0.000
0.017,0.000,0.238,0.458,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.080,0.000,0.000,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,-0.041,0.000,0.000,-0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,-0.029,0.000,0.187,0.000,0.000,0.000,0.035,0.148,0.000,0.000,-0.044,0.000,0.045
0.000,0.017,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.346,0.249,0.000,0.000,0.000,0.000

0.586,0.000,-0.085,0.000,0.040,0.161,0.000,-0.028,0.000,0.000,0.038,0.000,0.000,-0.054,-0.044
0.000,0.532,0.005,0.162,0.010,-0.234,0.000,0.000,0.000,0.000,0.184,0.000,0.000,0.000,0.229
-0.225,0.000,0.785,0.000,0.000,-0.086,0.000,0.466,0.174,0.000,0.000,0.000,0.000,-0.053,0.000
0.000,0.000,0.000,0.635,0.000,0.000,0.000,0.000,0.000,0.000,-0.227,0.000,0.000,0.000,0.000
0.000,0.000,0.176,0.000,0.825,0.000,0.000,0.000,0.000,-0.110,0.000,0.000,0.000,0.000,0.000
0.146,0.000,0.000,0.000,0.000,0.854,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.073,0.000,0.000,0.000,0.000,0.199,0.086,0.630,0.000,0.000,-0.253,0.000,-0.262,-0.297,0.000
0.000,0.038,-0.370,-0.073,0.000,0.000,0.000,-0.403,0.460,0.000,-0.140,-0.115,0.000,0.085,0.000
0.420,-0.402,0.000,0.000,0.166,0.000,0.000,-0.192,0.082,0.830,0.052,-0.027,0.000,-0.032,0.000
0.000,0.000,0.000,-0.139,-0.004,0.000,0.000,0.034,0.000,0.000,0.769,0.000,0.055,-0.010,-0.039
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.206,0.621,0.000,0.000,0.000
0.002,0.000,0.000,-0.044,0.000,0.033,0.338,0.070,0.000,0.000,0.000,0.021,0.661,-0.019,0.000
0.000,0.000,0.000,-0.143,-0.545,0.090,0.000,-0.308,-0.242,0.000,-0.053,0.000,0.000,0.892,0.000
0.000,0.000,0.000,0.028,0.000,0.000,0.230,0.000,0.000,-0.101,-0.047,0.000,0.000,0.000,0.857
