0.000,0.000,0.000,0.000,0.000,0.237,0.000,0.000,0.000,0.000
0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.099,0.000,0.000,0.000,0.000,-0.133,0.164,0.000,0.000
0.000,0.000,0.000,0.000,0.166,0.000,0.000,0.000,0.000,0.000
0.173,0.087,0.000,0.201,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.244,0.000,0.217,0.000,0.000
0.000,0.000,0.000,-0.051,0.000,0.108,0.000,0.000,0.215,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.211,0.000,0.000
0.000,-0.033,0.000,0.000,0.000,0.257,0.000,0.000,0.336,0.000

0.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,-0.034,0.678,0.000,0.000,0.000,0.284,-0.137,0.000,0.000
0.000,0.000,0.000,0.742,-0.073,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,-0.079,0.665,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.470,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,-0.164,0.000
0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.299,-0.037,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.220,0.666,0.000
0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,-0.136,0.409
