C,I,U,Y,P,R
100.56219386556592,50.32861691795713,4.215015920906045,354.7605017735012,100.02957742606245,2.353898028266889
100.96564581640332,50.71742428558821,4.560051961343144,347.38369041595786,99.91772487184967,2.193420716604938
101.52877311243716,51.38981706367281,4.973126882029889,357.37374227276814,99.99524273684911,2.105786861236283
102.1693821193089,52.025599949162675,4.904730454979419,360.87317322606765,100.14365811092318,1.9738015485636153
102.71097272127477,51.82256909282058,4.779348411458289,356.6175269659121,100.1944958533723,2.520564609747687
103.15033861296683,51.811005856852994,5.3025967613386245,364.79602394283427,100.0361946242785,2.4175420428369288
104.031779154426,52.29563438408183,4.52308809322723,352.50889594806597,100.0997599758349,2.38838291170497
104.3825844545388,52.652274725365785,4.863882502982753,350.84883540113543,100.15868735365125,2.2956846611697332
104.91718369851924,53.001170371075915,5.093235839077395,349.2403166946759,99.98218422319604,2.5417766363860106
105.57082801094609,54.1063421319581,5.424476655713145,367.19749080390847,100.12658356536626,2.1297262422062317
105.95755203366969,54.6490848751071,5.4096830382890815,363.7229646008457,100.23308647512489,2.4831454126863473
106.34402376092561,55.0782066998555,4.364125959822089,361.3694297940312,100.34308274948933,2.430361824727371
106.77011131774984,55.62775697173114,4.354252684630107,363.9527552338808,100.49311958084985,2.9017990734003454
107.2072194814003,56.05876442054153,5.652192501427483,357.63499841658313,100.35298026840309,2.289259410340605
107.43692384044921,56.193498922677925,4.9825364686794655,376.1217040353091,100.1969919628142,2.605363557103734
107.998151894029,57.02771601387564,4.6251496405677335,365.46766508302954,100.32808375742115,2.445484581757058
108.44991856984124,56.89482356480598,5.8023152191684515,365.8610056944114,100.27442702753143,2.3598617509361897
108.87193967913244,57.10091278192756,5.11148830150347,369.60490927399314,100.36850234261077,2.3175565812527297
109.40722280383302,57.42688441159902,5.587145896157399,369.1648706241645,100.52511640172197,2.429310329059347
109.65843813910068,57.56460579295327,4.927247874397517,368.4420899442648,100.35047182847964,2.553328420878152
110.30963274649821,58.511690404958664,6.023324084635084,364.8589667706875,100.43528404792607,2.4096566698814073
110.68745658457796,58.37085933543248,5.756700946937491,371.5839928736441,100.60895842688036,2.4635565819555802
111.26679865733563,58.971592742764535,4.890384671480675,379.4870769587715,100.42603756790999,2.455446951904127
111.60685044395316,58.81701857707916,5.501842873582164,377.1730499134391,100.54925745843653,3.151131567020935
112.1861852668989,58.857100784838735,5.067295861302378,379.1561855593594,100.38664825901334,2.908646191446099
112.48531080971983,59.3431826573192,5.7384620515866525,369.64553994727726,100.4929520111678,2.349961111651095
112.93259830975828,59.87541710543655,4.369647112832535,367.8937713501648,100.57696992705183,2.5661688427103284
113.53675059325951,59.823380855222275,5.462682880165668,372.8006927479276,100.59315615788238,2.4321861394936417
