C,I,U,Y,P,R
101.15784944069817,44.89360525278352,5.804721670354108,291.7070568160922,112.65331347593076,9.667806962660691
101.13720946183086,76.95073053937331,8.422975531808683,272.0328318253365,106.80492574027446,1.9199953766803484
100.95108767558582,42.22744688337719,1.889121869754165,296.5952309320366,107.90235332782963,1.1918209649023273
101.01503723253765,33.93013883504993,5.541370978672034,310.76878764460747,105.19775618546534,1.3769984206147887
101.08708996136191,40.35429913500464,4.666435815273535,312.212135411627,100.58814240794175,2.1662425951645563
101.34170661205657,37.451162648152334,5.733520661798127,189.81724111533708,105.5042019124667,2.4885474927142694
101.26495892466382,40.314232236407,0.6758416077366514,333.0600913023384,103.83804819089698,2.6627831112808007
101.65424404830215,38.55437649864645,2.5057106941629397,291.44742848234995,102.05518939321655,2.8485849218729595
101.69379671358774,38.454689810083806,7.527665540757921,303.1565233939723,105.81300793837077,2.2017582383938312
101.58551504039197,66.49943690972566,4.013235704835145,286.0202286840465,101.6000755470322,2.197013384978818
101.43783436797054,80.40695632637163,2.8522258348298117,315.660924078492,103.70057318617052,2.517918906248149
101.58316434735201,39.10236098974904,6.348639484623511,308.27975970251646,107.0351707062865,1.8926162554460826
101.98931890161573,47.13397495979278,2.7245552847134427,294.52156588945843,102.60033947686843,1.4316841979194639
101.4719469985908,33.91123979544024,3.644339274651478,270.4159625301985,101.53528186919542,1.6414133596939158
101.64100765573343,39.26863966623628,1.2892918792647352,283.5979031866807,111.63452148817655,2.22415026856928
101.6094943543068,33.494122569172674,2.5653528503024092,295.49904859231697,104.94967588029935,1.480314347003982
101.71345430736284,80.40967729878318,3.7192031786819344,289.9680759235892,105.04091213143543,2.3249664852846514
101.80089252247187,43.79123813334761,5.987618084396705,280.04919630469163,105.21379021734502,1.324515126732386
101.68026735198778,45.37905857498319,4.365073750963349,322.2656801109945,101.5423471223858,2.107740870068332
101.60163640238613,36.11348179385622,5.747156043593441,298.2118059367862,105.37161290256716,2.257494125924388
102.13969002238105,42.35629544660652,5.804882096267747,315.6082697173595,104.25909946612117,4.757473630931766
102.15361453737547,46.09862783890263,3.6871304621151233,263.0346687616316,109.48522309638187,1.6287008118408155
102.28132980703957,45.47842030072852,10.126286657560843,274.25998020099547,104.63908126428635,11.248238302901886
