dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,17,0.545,0.485,0.983,9,0.815,0.667,3.606,0.7504
dataset_1,20,0.529,0.412,1.171,14,0.667,0.533,4.243,0.7355
dataset_2,16,0.647,0.529,0.946,10,0.8,0.667,3.742,0.6646
dataset_3,17,0.629,0.514,0.946,12,0.733,0.6,4.0,0.6782
dataset_4,21,0.537,0.488,0.949,14,0.706,0.588,4.243,0.7483
dataset_5,18,0.647,0.471,1.014,13,0.774,0.581,4.359,0.7365
dataset_6,13,0.645,0.581,1.064,8,0.769,0.692,3.162,0.6323
dataset_7,20,0.526,0.474,1.03,11,0.774,0.645,3.873,0.6659
dataset_8,18,0.632,0.526,1.061,10,0.813,0.688,3.742,0.5962
dataset_9,19,0.514,0.457,1.013,12,0.733,0.6,4.0,0.8202
Overall Average,17.9000 ± 2.3310,0.5851 ± 0.0587,0.4937 ± 0.0464,1.0177 ± 0.0699,11.3000 ± 2.0575,0.7584 ± 0.0482,0.6261 ± 0.0531,3.8970 ± 0.3571,0.7028
