dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,4,0.857,0.857,0.521,3,0.889,0.889,1.732,0.1184
dataset_1,8,0.714,0.714,0.581,7,0.741,0.741,2.646,0.1096
dataset_2,10,0.688,0.688,0.589,7,0.759,0.759,2.646,0.1059
dataset_3,6,0.8,0.8,0.58,5,0.889,0.815,2.646,0.1055
dataset_4,7,0.774,0.774,0.509,6,0.8,0.8,2.449,0.105
dataset_5,6,0.813,0.813,0.568,5,0.828,0.828,2.236,0.1056
dataset_6,11,0.774,0.645,0.957,6,0.857,0.786,2.828,0.1089
dataset_7,3,0.897,0.897,0.563,3,0.889,0.889,1.732,0.1052
dataset_8,5,0.828,0.828,0.57,4,0.846,0.846,2.0,0.1031
dataset_9,8,0.75,0.75,0.462,9,0.759,0.69,3.317,0.1055
Overall Average,6.8000 ± 2.5298,0.7895 ± 0.0635,0.7766 ± 0.0784,0.5900 ± 0.1351,5.5000 ± 1.9003,0.8257 ± 0.0579,0.8043 ± 0.0635,2.4232 ± 0.5035,0.1073
