dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.89,8,0.667,0.667,3.2173
dataset_1,0.859,10,0.545,0.545,3.6179
dataset_2,0.82,8,0.556,0.556,2.9855
dataset_3,0.848,9,0.609,0.609,3.4718
dataset_4,0.78,9,0.64,0.64,3.4395
dataset_5,0.834,9,0.609,0.609,3.4003
dataset_6,0.98,7,0.632,0.632,3.466
dataset_7,0.97,11,0.621,0.621,3.4492
dataset_8,0.887,7,0.696,0.696,3.8229
dataset_9,0.789,10,0.583,0.583,531.3829
Overall Average,0.866 ± 0.068,8.80 ± 1.32,0.616 ± 0.047,0.616 ± 0.047,56.2253 ± 166.9535
