dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,5,0.783,0.783,0.566,4,0.818,0.818,2.0,0.7348
dataset_1,4,0.846,0.846,0.615,4,0.833,0.833,2.0,0.7411
dataset_2,6,0.727,0.727,0.695,5,0.762,0.762,2.236,0.8816
dataset_3,6,0.75,0.75,0.683,3,0.87,0.87,1.732,0.5659
dataset_4,5,0.815,0.815,0.422,4,0.846,0.846,2.0,0.5333
dataset_5,5,0.783,0.783,0.602,4,0.818,0.818,2.0,0.5259
dataset_6,5,0.8,0.8,0.647,4,0.833,0.833,2.0,0.5272
dataset_7,3,0.889,0.889,0.6,3,0.88,0.88,1.732,0.5291
dataset_8,6,0.75,0.75,0.618,5,0.783,0.783,2.236,0.5343
dataset_9,3,0.889,0.889,0.52,2,0.917,0.917,1.414,0.5318
Overall Average,4.8000 ± 1.1353,0.8032 ± 0.0568,0.8032 ± 0.0568,0.5968 ± 0.0801,3.8000 ± 0.9189,0.8360 ± 0.0456,0.8360 ± 0.0456,1.9350 ± 0.2486,0.6105
