dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,14,0.571,0.5,0.968,9,0.72,0.64,3.317,3.5826
dataset_1,19,0.545,0.424,1.061,10,0.714,0.643,3.464,2.9694
dataset_2,14,0.6,0.533,0.955,9,0.741,0.667,3.317,4.5983
dataset_3,15,0.56,0.4,1.069,12,0.667,0.5,4.0,3.8177
dataset_4,16,0.563,0.5,1.071,10,0.714,0.643,3.464,3.778
dataset_5,14,0.6,0.533,1.023,9,0.741,0.667,3.317,3.1302
dataset_6,14,0.571,0.5,1.294,10,0.692,0.615,3.464,3.7982
dataset_7,15,0.645,0.516,1.143,9,0.741,0.667,3.317,3.7215
dataset_8,14,0.6,0.533,1.065,10,0.714,0.643,3.464,3.091
dataset_9,18,0.5,0.438,1.174,10,0.714,0.643,3.464,3.1734
Overall Average,15.3000 ± 1.8288,0.5755 ± 0.0390,0.4877 ± 0.0490,1.0823 ± 0.1004,9.8000 ± 0.9189,0.7158 ± 0.0233,0.6328 ± 0.0494,3.4588 ± 0.2037,3.5660
