dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,110,0.452,0.345,3.008,96,0.538,0.385,10.954,2.1155
dataset_1,136,0.363,0.333,3.149,112,0.511,0.378,11.662,2.2024
dataset_2,110,0.388,0.353,2.975,93,0.522,0.408,10.536,2.1832
dataset_3,117,0.409,0.354,2.905,104,0.536,0.381,11.402,2.0599
dataset_4,110,0.386,0.337,3.081,91,0.458,0.405,9.95,2.279
dataset_5,112,0.383,0.309,2.939,98,0.507,0.347,11.045,2.1276
dataset_6,140,0.35,0.3,3.137,114,0.478,0.367,11.576,2.1652
dataset_7,112,0.398,0.364,2.848,92,0.519,0.418,10.392,2.0953
dataset_8,132,0.381,0.32,3.305,105,0.544,0.379,11.533,2.276
dataset_9,127,0.413,0.328,3.184,98,0.554,0.41,11.045,2.0893
Overall Average,120.6000 ± 11.9369,0.3923 ± 0.0283,0.3343 ± 0.0206,3.0531 ± 0.1425,100.3000 ± 8.1520,0.5167 ± 0.0299,0.3878 ± 0.0222,11.0095 ± 0.5685,2.1593
