dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,70,0.527,0.527,2.001,54,0.639,0.625,7.483,0.5201
dataset_1,55,0.662,0.65,1.751,45,0.731,0.69,7.141,0.492
dataset_2,50,0.638,0.638,1.67,38,0.712,0.712,6.164,0.4958
dataset_3,44,0.694,0.694,1.5,37,0.745,0.73,6.245,0.5122
dataset_4,58,0.636,0.623,1.807,45,0.707,0.694,6.856,0.49
dataset_5,50,0.647,0.632,1.508,46,0.667,0.652,6.928,0.4977
dataset_6,57,0.663,0.65,1.549,49,0.71,0.684,7.28,0.4997
dataset_7,49,0.667,0.667,1.529,36,0.743,0.743,6.0,0.4971
dataset_8,47,0.676,0.676,1.297,42,0.729,0.7,6.782,0.4981
dataset_9,53,0.658,0.644,1.56,44,0.732,0.69,7.071,0.4947
Overall Average,53.3000 ± 7.3341,0.6468 ± 0.0455,0.6401 ± 0.0451,1.6172 ± 0.1966,43.6000 ± 5.6016,0.7115 ± 0.0341,0.6920 ± 0.0344,6.7950 ± 0.5010,0.4997
