dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,36,0.64,0.64,1.631,36,0.653,0.633,6.164,2.8549
dataset_1,34,0.685,0.685,1.564,33,0.686,0.686,5.745,2.8689
dataset_2,37,0.648,0.648,1.762,36,0.647,0.647,6.0,2.8125
dataset_3,41,0.602,0.602,1.786,37,0.653,0.634,6.245,2.8165
dataset_4,34,0.679,0.679,1.594,32,0.692,0.692,5.657,2.8205
dataset_5,38,0.627,0.627,1.696,38,0.64,0.62,6.325,2.8226
dataset_6,36,0.667,0.667,1.653,32,0.692,0.692,5.657,2.8462
dataset_7,38,0.642,0.642,1.606,35,0.66,0.66,5.916,2.8094
dataset_8,31,0.726,0.726,1.329,30,0.745,0.727,5.657,2.8124
dataset_9,40,0.623,0.623,1.629,36,0.654,0.654,6.0,2.8033
Overall Average,36.5000 ± 2.9907,0.6539 ± 0.0361,0.6539 ± 0.0361,1.6250 ± 0.1262,34.5000 ± 2.5927,0.6722 ± 0.0319,0.6645 ± 0.0337,5.9366 ± 0.2533,2.8267
