dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,56,0.419,0.349,3.869,54,0.429,0.357,7.746,12.7559
dataset_1,65,0.387,0.301,4.713,61,0.418,0.33,8.307,12.7315
dataset_2,57,0.329,0.329,3.355,55,0.361,0.337,7.55,12.6453
dataset_3,57,0.418,0.374,4.072,55,0.449,0.382,7.81,12.7081
dataset_4,56,0.457,0.391,4.255,54,0.467,0.4,7.746,12.7297
dataset_5,58,0.478,0.37,4.299,54,0.489,0.4,7.874,12.664
dataset_6,58,0.364,0.341,3.703,56,0.372,0.349,7.616,12.6482
dataset_7,61,0.404,0.315,4.229,59,0.414,0.322,8.185,12.6946
dataset_8,59,0.442,0.379,4.376,55,0.452,0.409,7.681,12.6907
dataset_9,55,0.414,0.368,3.755,53,0.424,0.376,7.55,12.6388
Overall Average,58.2000 ± 2.9364,0.4112 ± 0.0438,0.3517 ± 0.0297,4.0626 ± 0.3950,55.6000 ± 2.5033,0.4275 ± 0.0397,0.3662 ± 0.0316,7.8065 ± 0.2559,12.6907
